Meets Gaming Requirements,Meets Office Requirements,Meets Server Requirements,Upgrade CPU,Upgrade RAM,Upgrade MEM,Upgrade GPU
1,1,1,0,0,0,0
0,1,0,0,0,0,0
1,1,1,0,0,0,0
0,1,0,0,1,1,1
0,1,0,0,0,0,1
0,1,0,0,0,0,0
0,1,0,0,0,0,1
0,1,0,0,0,0,1
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
0,1,0,0,0,0,1
0,1,0,0,0,0,0
1,1,1,0,0,0,0
0,1,0,0,1,1,1
1,1,1,0,0,0,0
0,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,1,0,0,0,0
0,1,0,0,0,0,1
1,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,0,1,1,0
1,1,0,0,1,1,0
0,1,0,1,1,1,1
1,1,0,0,0,0,0
0,1,0,0,1,1,1
1,1,0,0,0,1,1
0,1,0,0,1,1,1
1,1,0,0,1,1,0
1,1,1,0,0,0,0
0,1,0,1,1,1,1
0,1,0,0,1,1,1
0,1,0,0,0,1,1
0,1,0,0,0,1,1
1,1,0,0,0,1,1
0,1,0,1,1,1,1
1,1,0,0,0,1,0
0,0,0,0,1,1,1
1,1,1,0,0,0,0
1,1,0,0,1,1,1
0,1,0,0,1,1,1
0,0,0,0,1,1,1
1,1,0,0,1,1,0
1,1,0,0,1,1,0
1,1,0,0,1,0,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,1,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,1,1
0,0,0,0,1,0,1
0,0,0,0,1,1,1
1,1,1,0,0,0,0
1,1,0,0,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,0,0,0,1,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,0,1,1,1
1,1,0,0,0,0,0
0,0,0,1,1,1,1
0,1,0,0,0,1,0
0,0,0,0,0,1,1
0,0,0,1,1,1,1
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
0,0,0,0,0,1,1
1,0,0,0,0,1,0
1,1,0,0,0,1,0
0,0,0,1,1,0,1
1,1,1,0,0,0,0
0,1,0,0,0,1,1
1,1,0,0,0,0,0
0,0,0,1,1,1,1
